species,month,year,count,type
D. yakuba_MC,SEP,2019,29,Drosophila
Ficus clamydocarpa fernandesiana,OCT,2019,35,Fruit
Ficus kamerounesis,OCT,2019,0,Fruit
Ficus mucoso,OCT,2019,0,Fruit
Sapium ellipticum,OCT,2019,2,Fruit
Croton stelluifer,OCT,2019,5,Fruit
Homalium henriquesii,OCT,2019,5,Fruit
Psydrax subcordata,OCT,2019,39,Fruit
Psydrax acutiflora,OCT,2019,10,Fruit
Antidesma vogelianum,OCT,2019,6,Fruit
Sabicea ingrata ingrata,OCT,2019,2,Fruit
Psidium guajava,OCT,2019,3,Fruit
D. santomea_Obo,OCT,2019,39,Drosophila
F1_Obo,OCT,2019,0,Drosophila
D. yakuba_Obo,OCT,2019,42,Drosophila
D. santomea_BS,OCT,2019,9,Drosophila
F1_BS,OCT,2019,0,Drosophila
D. yakuba_BS,OCT,2019,14,Drosophila
D. yakuba_MC,OCT,2019,105,Drosophila
Ficus clamydocarpa fernandesiana,NOV,2019,11,Fruit
Ficus kamerounesis,NOV,2019,0,Fruit
Ficus mucoso,NOV,2019,0,Fruit
Sapium ellipticum,NOV,2019,9,Fruit
Croton stelluifer,NOV,2019,1,Fruit
Homalium henriquesii,NOV,2019,6,Fruit
Psydrax subcordata,NOV,2019,22,Fruit
Psydrax acutiflora,NOV,2019,0,Fruit
Antidesma vogelianum,NOV,2019,5,Fruit
Sabicea ingrata ingrata,NOV,2019,1,Fruit
Psidium guajava,NOV,2019,5,Fruit
D. santomea_Obo,NOV,2019,4,Drosophila
F1_Obo,NOV,2019,0,Drosophila
D. yakuba_Obo,NOV,2019,18,Drosophila
D. santomea_BS,NOV,2019,4,Drosophila
F1_BS,NOV,2019,0,Drosophila
D. yakuba_BS,NOV,2019,32,Drosophila
D. yakuba_MC,NOV,2019,201,Drosophila
Ficus clamydocarpa fernandesiana,DEC,2019,0,Fruit
Ficus kamerounesis,DEC,2019,5,Fruit
Ficus mucoso,DEC,2019,1,Fruit
Sapium ellipticum,DEC,2019,2,Fruit
Croton stelluifer,DEC,2019,6,Fruit
Homalium henriquesii,DEC,2019,15,Fruit
Psydrax subcordata,DEC,2019,11,Fruit
Psydrax acutiflora,DEC,2019,2,Fruit
Antidesma vogelianum,DEC,2019,0,Fruit
Sabicea ingrata ingrata,DEC,2019,0,Fruit
Psidium guajava,DEC,2019,1,Fruit
D. santomea_Obo,DEC,2019,0,Drosophila
F1_Obo,DEC,2019,0,Drosophila
D. yakuba_Obo,DEC,2019,5,Drosophila
D. santomea_BS,DEC,2019,0,Drosophila
F1_BS,DEC,2019,0,Drosophila
D. yakuba_BS,DEC,2019,5,Drosophila
D. yakuba_MC,DEC,2019,111,Drosophila
Ficus clamydocarpa fernandesiana,JAN,2020,23,Fruit
Ficus kamerounesis,JAN,2020,11,Fruit
Ficus mucoso,JAN,2020,14,Fruit
Sapium ellipticum,JAN,2020,1,Fruit
Croton stelluifer,JAN,2020,11,Fruit
Homalium henriquesii,JAN,2020,5,Fruit
Psydrax subcordata,JAN,2020,26,Fruit
Psydrax acutiflora,JAN,2020,41,Fruit
Antidesma vogelianum,JAN,2020,11,Fruit
Sabicea ingrata ingrata,JAN,2020,4,Fruit
Psidium guajava,JAN,2020,0,Fruit
D. santomea_Obo,JAN,2020,25,Drosophila
F1_Obo,JAN,2020,4,Drosophila
D. yakuba_Obo,JAN,2020,28,Drosophila
D. santomea_BS,JAN,2020,12,Drosophila
F1_BS,JAN,2020,0,Drosophila
D. yakuba_BS,JAN,2020,11,Drosophila
D. yakuba_MC,JAN,2020,33,Drosophila
Ficus clamydocarpa fernandesiana,FEB,2020,71,Fruit
Ficus kamerounesis,FEB,2020,46,Fruit
Ficus mucoso,FEB,2020,17,Fruit
Sapium ellipticum,FEB,2020,15,Fruit
Croton stelluifer,FEB,2020,9,Fruit
Homalium henriquesii,FEB,2020,36,Fruit
Psydrax subcordata,FEB,2020,31,Fruit
Psydrax acutiflora,FEB,2020,54,Fruit
Antidesma vogelianum,FEB,2020,69,Fruit
Sabicea ingrata ingrata,FEB,2020,10,Fruit
Psidium guajava,FEB,2020,0,Fruit
D. santomea_Obo,FEB,2020,101,Drosophila
F1_Obo,FEB,2020,8,Drosophila
D. yakuba_Obo,FEB,2020,65,Drosophila
D. santomea_BS,FEB,2020,31,Drosophila
F1_BS,FEB,2020,0,Drosophila
D. yakuba_BS,FEB,2020,76,Drosophila
D. yakuba_MC,FEB,2020,254,Drosophila
Ficus clamydocarpa fernandesiana,MAR,2020,44,Fruit
Ficus kamerounesis,MAR,2020,65,Fruit
Ficus mucoso,MAR,2020,0,Fruit
Sapium ellipticum,MAR,2020,5,Fruit
Croton stelluifer,MAR,2020,1,Fruit
Homalium henriquesii,MAR,2020,40,Fruit
Psydrax subcordata,MAR,2020,45,Fruit
Psydrax acutiflora,MAR,2020,22,Fruit
Antidesma vogelianum,MAR,2020,93,Fruit
Sabicea ingrata ingrata,MAR,2020,44,Fruit
Psidium guajava,MAR,2020,4,Fruit
D. santomea_Obo,MAR,2020,24,Drosophila
F1_Obo,MAR,2020,1,Drosophila
D. yakuba_Obo,MAR,2020,31,Drosophila
D. santomea_BS,MAR,2020,7,Drosophila
F1_BS,MAR,2020,0,Drosophila
D. yakuba_BS,MAR,2020,22,Drosophila
D. yakuba_MC,MAR,2020,210,Drosophila
